#{"t_start": 1765725402.6071446, "env_id": "Reacher-v5"}
r,l,t
-8.189539,50,30.098442
-8.510179,50,30.122461
-12.113694,50,30.145703
-9.560305,50,30.168862
-15.048831,50,30.41382
-10.657036,50,30.439038
-12.850631,50,30.463437
-13.882791,50,30.487355
-12.268647,50,30.561924
-12.578285,50,30.586854
-13.175251,50,30.613187
-12.876299,50,30.637643
-10.505306,50,30.752677
-11.235442,50,30.775248
-9.756989,50,30.800473
-11.210814,50,30.82505
-10.607266,50,30.929922
-14.560867,50,30.963864
-15.47462,50,30.988375
-9.850861,50,31.012857
-13.60659,50,31.109306
-10.695009,50,31.133724
-14.293186,50,31.158842
-13.084236,50,31.180973
-12.79203,50,31.247717
-12.398101,50,31.271966
-12.462185,50,31.29649
-11.555353,50,31.320232
-12.482854,50,31.395561
-13.385452,50,31.420344
-9.455992,50,31.444489
-12.086656,50,31.470544
-12.314227,50,31.541109
-13.289956,50,31.564698
-11.326149,50,31.586909
-9.214251,50,31.611119
-12.39259,50,31.690666
-14.479585,50,31.712919
-10.322373,50,31.736146
-10.028969,50,31.75998
-13.589139,50,31.837407
-14.599244,50,31.863206
-10.439663,50,31.885777
-14.970187,50,31.91186
-11.525668,50,31.974812
-12.899743,50,32.000819
-14.981104,50,32.022828
-8.32935,50,32.049723
-13.007277,50,32.11763
-10.822785,50,32.14103
-10.339193,50,32.165607
-12.266675,50,32.193633
-8.627954,50,32.283619
-8.895957,50,32.305076
-12.482657,50,32.330868
-12.484445,50,32.354019
-11.665255,50,32.429892
-13.313522,50,32.45467
-9.404768,50,32.479665
-11.773326,50,32.505625
-12.955454,50,32.575054
-12.041398,50,32.601647
-12.435137,50,32.62938
-12.690973,50,32.660471
-14.687,50,32.733367
-9.59914,50,32.757282
-10.990721,50,32.781634
-12.552734,50,32.804408
-12.590809,50,32.908666
-15.692285,50,32.934511
-12.568339,50,32.962652
-8.955683,50,32.986489
-14.959882,50,33.054888
-13.502088,50,33.077091
-12.245019,50,33.102857
-9.277558,50,33.130868
-13.550689,50,33.225276
-13.021555,50,33.250242
-12.198048,50,33.273849
-16.433376,50,33.29908
-13.878067,50,33.361809
-11.436014,50,33.389176
-12.035494,50,33.413475
-12.224011,50,33.437584
-13.474933,50,33.531613
-15.468378,50,33.554924
-14.333952,50,33.580316
-10.899494,50,33.604903
-13.391475,50,33.679333
-8.236665,50,33.703985
-13.047879,50,33.730188
-14.73626,50,33.75506
-10.920771,50,33.84519
-13.166665,50,33.870157
-11.174984,50,33.894254
-12.393887,50,33.919825
-14.150177,50,33.981685
-11.949113,50,34.004787
-11.510626,50,34.029469
-12.036119,50,34.055838
-9.958564,50,34.121899
-12.227732,50,34.143984
-10.33367,50,34.168207
-14.986656,50,34.193573
-10.461907,50,34.255598
-11.907406,50,34.2813
-14.822738,50,34.308426
-13.572233,50,34.335433
-11.716131,50,34.394598
-12.70961,50,34.420485
-13.491304,50,34.447317
-10.58747,50,34.471478
-15.033807,50,34.607856
-12.148945,50,34.635112
-10.484603,50,34.662185
-10.466836,50,34.690473
-12.324638,50,34.781875
-11.467054,50,34.80441
-10.53231,50,34.830801
-14.858648,50,34.866124
-13.462743,50,34.948306
-10.127781,50,34.974865
-9.61254,50,35.002119
-12.297069,50,35.029985
-13.97462,50,35.099927
-12.952395,50,35.124436
-14.269536,50,35.150699
-7.784419,50,35.17853
-9.984753,50,35.281686
-12.507262,50,35.309521
-10.854804,50,35.338889
-11.518862,50,35.368069
-12.016103,50,35.446866
-10.996403,50,35.472706
-12.991123,50,35.49716
-11.105142,50,35.52462
-8.394645,50,35.596727
-12.589408,50,35.624183
-11.324614,50,35.65289
-10.557056,50,35.680795
-13.037283,50,35.742681
-14.360542,50,35.766691
-12.285406,50,35.795239
-15.166388,50,35.817945
-11.423632,50,35.887409
-15.426929,50,35.91104
-13.480431,50,35.936678
-9.107243,50,35.962844
-8.496277,50,36.039218
-9.812028,50,36.066639
-12.98237,50,36.092309
-12.554577,50,36.116013
-12.745433,50,36.186808
-12.155113,50,36.211524
-15.541583,50,36.238608
-10.237363,50,36.265459
-11.259439,50,36.333025
-16.182153,50,36.359018
-11.018796,50,36.387074
-13.480764,50,36.413534
-9.458086,50,36.516529
-13.207795,50,36.541714
-12.787475,50,36.568658
-11.82227,50,36.598182
-15.818471,50,36.703512
-14.105819,50,36.732176
-15.18646,50,36.757776
-11.341323,50,36.781178
-11.667217,50,36.842155
-10.24606,50,36.868391
-11.985807,50,36.893852
-11.227011,50,36.918072
-11.980222,50,37.05799
-11.510433,50,37.079735
-15.013006,50,37.105359
-13.238552,50,37.129247
-11.166954,50,37.22345
-9.811711,50,37.251453
-14.074122,50,37.278921
-14.431856,50,37.305592
-10.838163,50,37.377614
-11.164033,50,37.40186
-9.880875,50,37.428804
-13.928074,50,37.455338
-14.719235,50,37.541086
-14.708976,50,37.56877
-11.115561,50,37.597388
-13.084647,50,37.623801
-11.55116,50,37.695191
-13.896118,50,37.721519
-9.689498,50,37.744849
-15.534884,50,37.771847
-13.627367,50,37.920591
-14.230838,50,37.946391
-9.979761,50,37.970852
-8.418537,50,37.998485
-8.544947,50,38.122254
-12.96567,50,38.149031
-8.840256,50,38.174739
