#{"t_start": 1765929090.221403, "env_id": "Reacher-v5"}
r,l,t
35.390921,50,0.022615
81.435173,50,0.028634
25.007136,50,0.034577
30.393589,50,0.040873
44.481617,50,0.047896
67.222695,50,0.053994
19.180979,50,0.059989
10.8758,50,0.065994
21.468696,50,0.072672
11.287401,50,0.07872
36.954954,50,0.084717
51.363614,50,0.090778
25.411001,50,0.097456
13.654887,50,0.103376
28.381427,50,0.10956
26.425135,50,0.115782
59.971228,50,0.12239
23.13643,50,0.128289
36.162867,50,0.134342
34.222985,50,0.140388
63.586495,50,0.147022
12.855536,50,0.153181
22.873061,50,0.159224
-0.734302,50,0.165417
60.744992,50,0.171863
21.917464,50,0.177809
32.61774,50,0.183748
25.099326,50,0.189683
15.254671,50,0.196321
13.932549,50,0.202332
9.730183,50,0.208469
28.860688,50,0.214581
10.314978,50,0.221324
34.691492,50,0.227308
44.919376,50,0.233348
14.210813,50,0.239387
41.12615,50,0.246059
31.639005,50,0.251889
36.982366,50,0.257791
10.879808,50,0.263681
35.318801,50,0.270216
27.087324,50,0.276122
47.334788,50,0.282089
26.705061,50,0.288037
25.634964,50,0.29466
17.103025,50,0.300583
33.778329,50,0.30647
32.071639,50,0.312427
20.960756,50,0.319082
30.665571,50,0.32515
21.565652,50,0.331232
31.46213,50,0.337296
77.647246,50,0.344029
47.910676,50,0.350109
29.773419,50,0.356171
6.496774,50,0.362246
23.581139,50,0.36885
47.379737,50,0.374881
40.370605,50,0.380891
18.972565,50,0.386836
16.171693,50,0.393349
43.508298,50,0.399368
52.888101,50,0.405293
12.259343,50,0.411155
17.087902,50,0.417721
16.444256,50,0.423812
25.05325,50,0.429892
32.948172,50,0.435892
9.506382,50,0.442415
22.454577,50,0.448384
28.974202,50,0.454315
23.881122,50,0.460253
29.538788,50,0.466786
19.790373,50,0.472752
44.864195,50,0.478721
46.078798,50,0.484781
21.558004,50,0.491278
29.854092,50,0.497252
90.833623,50,0.503199
15.972129,50,0.509201
31.712996,50,0.515845
22.096769,50,0.521827
41.10397,50,0.52786
19.245503,50,0.533912
37.584611,50,0.540566
25.024959,50,0.546672
42.999937,50,0.552664
29.079131,50,0.558643
35.125343,50,0.565149
29.875115,50,0.571083
49.911749,50,0.577013
25.816305,50,0.582942
27.619437,50,0.58944
34.053699,50,0.595412
18.788191,50,0.60143
50.621701,50,0.607437
9.71242,50,0.614028
22.149999,50,0.620064
29.675362,50,0.626036
15.23994,50,0.632068
32.297458,50,0.638569
14.50317,50,0.644521
36.081275,50,0.650576
38.186499,50,0.65663
30.769187,50,0.663217
1.104604,50,0.669147
17.928469,50,0.675079
25.478015,50,0.681015
19.867419,50,0.687659
48.993294,50,0.693643
48.046091,50,0.699738
54.168676,50,0.705765
32.528564,50,0.712322
30.253906,50,0.718162
34.770755,50,0.724045
51.205098,50,0.729968
22.204687,50,0.736404
26.586604,50,0.742262
4.551264,50,0.748312
52.396438,50,0.754429
24.779054,50,0.76107
86.578227,50,0.767047
18.7662,50,0.772976
29.619347,50,0.778907
43.396756,50,0.785405
28.188789,50,0.791426
38.269279,50,0.797382
46.587954,50,0.803391
0.612995,50,0.809844
15.280524,50,0.815763
31.122069,50,0.821752
14.340752,50,0.827646
37.331073,50,0.834159
16.099977,50,0.84014
25.426378,50,0.846034
10.530939,50,0.851898
19.114025,50,0.858534
35.510128,50,0.864534
30.234715,50,0.870524
21.548294,50,0.876446
20.326135,50,0.88295
6.50899,50,0.888942
26.155525,50,0.894948
10.076933,50,0.900931
33.865308,50,0.907453
25.341979,50,0.913497
11.806559,50,0.919431
20.977171,50,0.925351
42.002288,50,0.931896
16.885901,50,0.937921
54.394835,50,0.943794
39.048762,50,0.94971
19.676002,50,0.956309
7.094514,50,0.962209
20.903308,50,0.968082
25.281135,50,0.974039
24.456346,50,0.9806
53.101197,50,0.986592
49.042287,50,0.992524
54.975613,50,0.998388
34.265357,50,1.004887
25.473775,50,1.01074
25.275657,50,1.016604
24.72536,50,1.022537
5.98925,50,1.029062
23.816248,50,1.035012
28.17986,50,1.040969
27.899272,50,1.046855
37.286821,50,1.053458
20.372977,50,1.059503
31.331071,50,1.065552
19.768316,50,1.071642
57.22965,50,1.078139
16.50967,50,1.084114
50.098314,50,1.090281
44.030338,50,1.096378
6.105372,50,1.103665
16.902534,50,1.109776
